gene_name	known_status	single_exon	pval	qval	esti_log2FC
AAMDC	1	0	0.0018418407279725138	0.021851038676750218	0.6820173546425399
ABCA2	1	0	4.164463632772863e-6	1.594474236387416e-4	-1.0968353502120176
ABCB6	1	0	0.0030486120002171293	0.031584172107226874	-0.5269058860922091
ABCB8	1	0	0.005161811256523082	0.04636517478593664	-0.5614466438622929
ABCC3	1	0	1.26198717050264e-5	4.1634666074680753e-4	-0.6921281753720229
ABCC3	1	1	1.26198717050264e-5	4.1634666074680753e-4	-0.6921281753720229
ABCC4	1	0	3.9761617737738027e-7	2.027576836800111e-5	-1.0867571198680157
ABCC6	1	0	0.0010388243499277303	0.014251001986785689	-1.2123744495721418
ABCC9	1	0	5.000583842045079e-10	5.478151562079624e-8	3.6168001845887825
ABCD3	1	0	7.796907205035524e-4	0.011390432876234311	-0.5540441608291182
ABCG2	1	0	4.968030893082336e-4	0.007976720569986898	-1.26513640358187
ABHD14B	1	0	1.8550601138602255e-4	0.0036642987940902552	0.7231460891766863
ABI2	1	0	2.425545830074542e-4	0.004529795866671021	0.7001133834053009
ABL2	1	0	2.296578070638702e-13	4.612495746082782e-11	1.2843115019482656
ABLIM1	1	0	0.0025728804638199335	0.027695661071754203	-1.0667945160176182
ABLIM3	1	0	2.617063734713413e-5	7.650128944309898e-4	1.9449883172602773
AC002480.5	1	0	0.0013624552206507028	0.01735936267780662	2.862440959830157
AC005682.5	1	0	1.0891513407068204e-6	4.9185816759020433e-5	1.2762133610979212
AC005789.11	1	1	0.0013852187607586931	0.017551725924920332	1.4105166498791053
AC006157.1	1	0	0.003530956486581635	0.03524581071046631	-4.322862870588296
AC007879.7	1	0	6.19911220964468e-7	3.0412059170938524e-5	2.8594163922822813
AC011738.4	1	0	9.448370306199047e-4	0.013231185720534153	4.143657399023141
AC026806.2	1	1	0.0043505048800019375	0.040991423758240476	1.5835998311816448
AC064834.2	1	0	1.585727220627677e-4	0.0032503858946724526	3.404485467099581
AC073072.5	1	0	3.1408596232056475e-11	4.062888244797543e-9	5.058583130841708
AC091878.1	1	0	0.0011465644207964067	0.01529821618796884	-2.696280083259788
AC098614.2	1	1	3.968792860935077e-5	0.0010652928645248478	1.120763553279684
AC116366.5	1	0	6.74281155486356e-4	0.010156803510536582	3.0842277464892063
AC137932.6	1	0	2.3707950285015278e-4	0.004446540096682519	1.4402576266500007
AC159540.1	1	0	0.003562031808428917	0.035428444954730014	1.0846196313708605
AC216281.1	1	0	0.0041781755753694	0.03972737042095423	0.7429464837822557
AC243653.1	1	0	0.004872151750068308	0.044302139185688635	-4.041105122138503
ACADM	1	0	0.0031341053779584166	0.03228001652439762	0.4587819330662043
ACADVL	1	0	7.010620336234283e-5	0.001707608119344895	0.5095690732725248
ACADVL	1	1	7.010620336234283e-5	0.001707608119344895	0.5095690732725248
ACER2	1	0	0.0013213507358277228	0.0169203839191899	0.9366037788426673
ACKR3	1	0	7.425436558365323e-4	0.010961265370793153	3.419618045949933
ACO1	1	0	1.9923700934228442e-23	1.425540801844045e-20	1.2196478281231622
ACOT4	1	0	2.0999542282916132e-4	0.004040382521929813	1.1106254089275902
ACOX2	1	0	0.0022883071626693713	0.02538424457193698	-1.2015106851188286
ACOX3	1	0	9.362952735399316e-4	0.013153614228817808	0.6630128516630348
ACP6	1	0	0.003367519077567609	0.033980924107531056	0.5866164401244796
ACSL3	1	0	1.2970397424270563e-4	0.0027754226114588675	-1.087202015170472
ACSL4	1	0	2.1383507848494096e-4	0.004107355668616785	1.1268761168163222
ACSL5	1	0	5.518699062286023e-4	0.008690243035082585	2.350792814817679
ACSM3	1	0	0.004570672446431502	0.04246681159534926	-0.987494565971612
ACSS1	1	0	0.005478782243771523	0.048451988510387324	-0.44066553539989517
ACTBL2	1	1	5.114723959688984e-4	0.008172136760714514	3.1709780004443466
ACTL6A	1	0	7.938624947209183e-4	0.01151458397158533	-0.493517064918613
ACTN1	1	0	9.05430345539201e-6	3.1553627384270236e-4	0.7798673152430374
ACTR10	1	0	9.168981063856455e-4	0.012926908278205505	0.5192771480741332
ACTRT3	1	0	4.5083683760570484e-5	0.0011786107917083472	1.0625751818661278
ACY3	1	0	0.002080261062685682	0.023649283660005647	-2.6127561337037255
ACYP2	1	0	0.0037941791068966356	0.03696055526886594	0.9264540654707477
ADA	1	0	0.004876534833013257	0.04430680219709188	-0.5161203611693859
ADAM11	1	0	5.667831527540048e-4	0.008876242862828792	-1.207216094871735
ADAM19	1	0	4.118502652751203e-5	0.0010990353932096917	1.879390691755368
ADAMTS10	1	0	0.0030213402973728754	0.03137231535725651	-1.3397497752000833
ADAMTS12	1	0	1.154860859817143e-5	3.865744772861594e-4	1.1117427388166397
ADAMTS6	1	0	1.7788939441135297e-8	1.3397880179086636e-6	3.3867648843359124
ADAMTSL4	1	0	1.3589520292503913e-4	0.002875782372550961	1.4923990534250708
ADARB1	1	0	3.9846822271538086e-11	5.012817817193055e-9	1.2564112121519546
ADCK4	1	0	9.160406405968856e-4	0.012922776652560869	-0.582625728276985
ADH5	1	0	2.1930412024595848e-4	0.004187812458007894	0.5040883103363147
ADIRF-AS1	1	0	2.958614039594222e-5	8.467302952526174e-4	1.203637178317438
ADIRF-AS1	1	1	2.958614039594222e-5	8.467302952526174e-4	1.203637178317438
ADK	1	0	0.0017556472171310618	0.021123120695445502	0.7619379835483943
ADPRHL2	1	0	2.2506700147290564e-4	0.004272913819007999	0.5680693988629918
ADRB1	1	1	0.0024098482792587793	0.026450568649045547	-1.376631901189822
ADRB2	1	1	3.235675031921211e-17	1.0894708166304125e-14	2.517119864218861
ADTRP	1	0	0.0032816810753118282	0.03336472908540836	1.595397456964631
AFAP1L1	1	0	1.0903160921907626e-5	3.690364599962648e-4	0.9045179954820146
AFP	1	0	1.4021726096082727e-20	7.296396379452503e-18	3.12230755907154
AGMAT	1	0	0.0010916258654222323	0.01476306309197131	-0.537706805848693
AGR2	1	0	0.002198293314007505	0.024684710013494766	-3.6287967441824365
AIG1	1	0	0.0019693350755632623	0.0227795412813999	0.6815521881629476
AJ006998.2	1	0	3.503465238230032e-5	9.723071526607857e-4	-3.6094813828458423
AK5	1	0	1.5721991413176357e-17	5.713820879302951e-15	2.181672111351036
AKAP17A	1	0	1.0943951416336357e-7	6.699805123755006e-6	-0.8005229230648455
AKAP2	1	0	5.456047986250465e-13	9.759505835405518e-11	1.367802266370128
AKNAD1	1	0	0.001547307599873262	0.01913473309308615	1.551635995570136
