transcript_id	gene_name	known_status	length	single_exon	TSS	polyAsite	PC_potential	lncRNAregions	intergenic	ref_biotype	type	pval	qval	esti_log2FC	mean_obs_control	mean_obs_condition
ENST00000002165.8	FUCA2	Known	16879	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	0.00142251362373591	0.0381507249629159	0.455983109160114	11.1257299684111	11.5817130775712
ENST00000002596.5	HS3ST1	Known	36615	No	No	No	coding	No	No	protein_coding	prot_coding	0.000439125519994981	0.0164010505350091	-4.18275453857157	4.48866129583522	0.305906757263646
ENST00000003912.5	NIPAL3	Known	57173	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	6.29112786888434e-06	0.000574462811344139	0.903993565006927	8.3078246120133	9.21181817702023
ENST00000005178.5	PDK4	Known	12992	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	0.000592369273402822	0.0204754421009111	-2.7407321328798	8.95822335663823	6.21749122375843
ENST00000005180.6	CCL26	Known	2724	No	Yes	Yes	noncoding	No	No	protein_coding	prot_coding	8.98347488718236e-09	2.12122989690379e-06	1.92753529711722	5.18894091014856	7.11647620726578
ENST00000005260.8	BAIAP2L1	Known	109417	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	4.49579213103799e-07	6.26943099403825e-05	-0.796433840066166	10.8689877079036	10.0725538678374
ENST00000005386.5	RPAP3	Known	44812	No	Yes	Yes	coding	Yes	No	protein_coding	prot_coding	0.000949917151225712	0.0287767699920904	-0.725706375996003	10.2817399164429	9.55603354044692
ENST00000006275.6	TRAPPC6A	Known	15309	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	5.98624761541843e-05	0.00356658964931938	-1.2805012080093	7.10988135615458	5.82938014814527
ENST00000006777.8	RHBDD2	Known	9973	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	4.45639650532001e-05	0.00283973537905644	-0.998633341969489	8.35869232902716	7.36005898705768
ENST00000009589.5	RPS20	Known	1559	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	0.001001036462479	0.0298322817546441	0.424133551125252	13.9436207809097	14.3677543320349
ENST00000012134.4	HIVEP2	Known	85578	No	No	Yes	coding	No	No	protein_coding	prot_coding	0.000438744675986189	0.0164002246132334	7.98720507451081	-0.947800386799367	7.03940468771144
ENST00000013807.7	ERCC1	Known	10132	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	0.000583224512124349	0.0202502811320686	0.710335595094298	8.6658922870389	9.37622788213319
ENST00000014930.6	HEBP1	Known	25409	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	0.000157073410619295	0.00753805481872908	0.636488737958772	9.58773715866932	10.2242258966281
ENST00000019019.4	FTSJ1	Known	10138	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	0.000112458530911917	0.00580987941879639	1.11213403062541	6.90812944076781	8.02026347139322
ENST00000020945.2	SNAI2	Known	3750	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	1.04847138589531e-13	6.35497495055616e-11	3.85912182050376	5.0100186808283	8.86914050133206
ENST00000027335.5	CDH17	Known	81416	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	4.47392319371408e-12	2.07463364868993e-09	-5.92833650436603	8.10195141295261	2.17361490858658
ENST00000038176.5	NSMAF	Known	76340	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	0.000617689130871763	0.0210932579005695	0.516860106810218	10.6983175175893	11.2151776243995
ENST00000042381.6	FAM65A	Known	17916	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	0.000411200327152895	0.0157721027204714	0.994096924477371	9.69179582255591	10.6858927470333
ENST00000084798.6	CA11	Known	8370	No	Yes	Yes	coding	No	No	protein_coding	prot_coding	4.45907549132387e-06	0.000437821824925961	-2.98127050353619	8.02066888105435	5.03939837751816
