transcript_id	gene_name	known_status	single_exon	pval	qval	esti_log2FC	mean_obs_control	mean_obs_condition
MSTRG.3211.1	MSTRG.3211	0	0	1.1370963840499206e-128	8.753026835501073e-124	4.394227073820802	8.144132465488811	12.538359539309612
ENST00000335211.6	IGFN1	1	0	2.0367648412888375e-84	7.839202359394542e-80	4.22017803829752	9.139869751907328	13.360047790204847
ENST00000223642.2	C5	1	0	4.3566578940677636e-71	1.1178748490388475e-66	-3.8557637958542523	11.592895710759164	7.737131914904911
ENST00000307407.5	CXCL8	1	0	5.850997823156813e-68	1.125980648582855e-63	3.075566830356246	8.152861156828903	11.22842798718515
ENST00000335099.5	RTN4RL2	1	0	6.494490316632599e-64	9.99852762206855e-60	-5.4772674612238905	9.71489178309304	4.237624321869148
ENST00000395761.3	CXCL1	1	0	3.187632607066361e-62	4.089573253235788e-58	3.210431035323378	7.7157663828909335	10.926197418214311
ENST00000257555.8	HNF1A	1	0	1.2868466810325104e-61	1.4151085280834223e-57	-9.95843414240131	8.958434142401314	-1
ENST00000296129.3	CDCP1	1	0	2.925229185394971e-60	2.8146920875518588e-56	2.608397552300781	9.096875421194236	11.705272973495015
MSTRG.4648.2	MSTRG.4648	0	0	3.326957402277055e-58	2.845546666167565e-54	9.930554990085616	-1	8.930554990085616
ENST00000266659.5	GLIPR1	1	0	7.708682831440493e-48	5.933912783157949e-44	2.0642732277565186	10.514149872258617	12.578423100015137
ENST00000536703.3	GLIPR1	1	0	1.1284458658244563e-43	7.896761583051742e-40	2.7168862296594427	7.909190222064814	10.626076451724256
MSTRG.25726.3	MSTRG.25726	0	0	3.3754156645329164e-42	2.1652447634062524e-38	-10.076457942060644	9.076457942060648	-1
ENST00000519263.3	MTUS1	1	0	3.3472124574876718e-37	1.9819874872309887e-33	-9.708018155561767	8.708018155561767	-1
MSTRG.3211.7	MSTRG.3211	0	0	1.2109850679719807e-32	6.658428398377083e-29	4.0253925463417	4.794819346451088	8.820211892792788
ENST00000559133.3	FBN1	1	0	1.4286435786535454e-32	7.331513116934264e-29	2.736422364124157	7.763118661616429	10.499541025740587
ENST00000513610.3	MYO10	1	0	4.332459985790818e-31	2.084373577038874e-27	-1.5880237848438137	12.90166690873058	11.313643123886763
ENST00000448775.3	CLMP	1	0	3.584116574928796e-30	1.622909068166435e-26	1.6549776224194328	10.397715765193272	12.052693387612704
ENST00000295927.3	PTX3	1	0	6.0880017910016196e-30	2.6035339659218427e-26	3.320847218201721	5.264647973826675	8.585495192028395
ENST00000594309.3	FBL	1	0	1.2280006211061261e-29	4.975147568994014e-26	-9.573657795463461	8.573657795463463	-1
ENST00000473483.1	IGFN1	1	0	2.2588735679409941e-29	8.407054405629071e-26	4.95067659900479	4.09897277730977	9.04964937631456
ENST00000263339.3	IL1A	1	0	2.293518096551054e-29	8.407054405629071e-26	4.402800985464624	3.5957347229235785	7.998535708388203
ENST00000276914.4	PLIN2	1	0	1.2298147838691624e-28	4.303066028086205e-25	1.6332422093103032	10.288863595254423	11.922105804564724
ENST00000322142.10	FHL2	1	0	4.372234129509869e-28	1.4633107242925266e-24	2.64323255828629	7.493677172073455	10.136909730359742
MSTRG.10346.2	MSTRG.10346	0	0	1.4271313085545937e-27	4.57734528077529e-24	3.6758066994741956	8.673919513004334	12.34972621247853
ENST00000305354.4	TM4SF4	1	0	3.632290543558619e-27	1.0762438142349904e-23	-3.4116730405626643	8.406124742693601	4.994451702130934
ENST00000393765.4	B4GALT4	1	0	3.635155847864914e-27	1.0762438142349904e-23	-1.680056995690967	11.687645004788621	10.007588009097649
ENST00000559488.3	ITGB3	1	0	4.464510117314397e-27	1.2728318344463347e-23	4.237336417523795	6.800202033494651	11.037538451018447
ENST00000359426.6	HK1	1	0	8.10243514670959e-27	2.227504108172372e-23	1.457537538812609	11.34168007284621	12.799217611658817
ENST00000375078.3	CAMK2N1	1	0	1.3916990538616407e-26	3.694097174796811e-23	-2.2270994194162457	9.711165872719153	7.484066453302906
ENST00000343242.6	MAFK	1	0	2.390286388535638e-26	6.133235844343594e-23	-1.671171856635079	11.400839185737775	9.729667329102693
MSTRG.1642.5	MSTRG.1642	0	0	7.750157940472396e-26	1.8890114433036446e-22	3.590538407509061	5.865455894063906	9.455994301572968
MSTRG.9706.2	MSTRG.9706	0	0	7.85278280339798e-26	1.8890114433036446e-22	2.9512869314787067	8.876335460085825	11.82762239156453
MSTRG.2222.3	MSTRG.2222	0	0	1.9507118941327665e-25	4.55030149923206e-22	1.75088158160334	11.595812496890819	13.346694078494156
MSTRG.8259.2	MSTRG.8259	0	0	1.1199348577627351e-24	2.535565457235355e-21	1.6388015566734837	10.880342858643944	12.519144415317427
ENST00000196371.7	OXCT1	1	0	2.880712845389574e-24	6.3356752199872355e-21	1.8296568424860566	8.651820993675505	10.481477836161561
ENST00000428457.1	TNS3	1	0	1.2853319419651157e-23	2.7483610249069085e-20	-3.0784943531030073	9.403049028317723	6.324554675214713
MSTRG.12910.2	MSTRG.12910	0	0	3.316348494639777e-23	6.899528596537464e-20	4.066035267184495	7.291022058314122	11.357057325498618
